縣市2,提供家具_衣櫃？,有產權登記？,所在樓層,鄉鎮市區,縣市,需要管理費？,距頂樓層數,刊登者類型,提供家具_天然瓦斯？,陽台數,最大出租所費天數,建物樓高,客廳數,房數,房數2,管理費2,衛浴數,月管理費,坪數
2,0,1,9,1102,11,1,3,2,1,2,18,12,2,3,2,2,2,3500,25.2
2,1,1,10,1106,11,1,22,1,1,1,14,32,2,3,2,2,2,3500,38.0
2,0,1,5,1604,16,1,5,2,0,1,12,10,2,2,1,2,1,2000,20.0
3,1,1,8,1409,14,0,5,2,1,1,16,13,2,2,1,1,1,0,37.46
3,0,1,13,1412,14,1,4,0,1,2,12,17,2,3,2,2,2,2100,30.0
3,1,0,3,1309,13,0,4,1,1,1,5,7,2,2,1,1,1,0,25.0
2,1,1,17,1602,16,1,2,2,1,2,25,19,2,4,3,2,4,4260,97.19
2,1,1,10,1625,16,0,5,2,1,2,9,15,2,3,2,1,2,0,33.0
2,0,1,5,1128,11,0,4,2,1,1,14,9,2,3,2,1,2,0,49.55
2,1,1,11,1603,16,1,3,2,1,2,2,14,2,3,2,2,2,3000,40.0
2,0,0,8,1100,11,0,12,2,1,1,12,20,2,2,1,1,1,0,15.55
3,1,1,3,1412,14,0,12,0,1,2,7,15,2,3,2,1,2,0,40.0
2,1,1,9,1604,16,0,0,2,1,2,16,9,2,3,2,1,2,0,24.0
3,1,1,11,1407,14,1,6,2,1,1,7,17,2,3,2,1,2,1500,27.18
2,1,1,12,1625,16,0,2,2,1,4,12,14,2,4,3,1,2,0,46.0
3,0,1,6,1829,18,1,3,2,0,1,24,9,2,2,1,2,1,3000,22.0
2,1,1,15,1625,16,0,7,2,1,1,3,22,2,3,2,1,2,0,36.0
2,1,1,10,1111,11,0,5,2,1,2,8,15,2,4,3,1,2,0,35.5
3,1,1,6,1824,18,1,12,2,1,1,10,18,2,4,3,2,2,2251,37.46
2,1,1,8,1604,16,0,7,2,1,1,16,15,2,3,2,1,1,0,38.0
2,0,1,14,1602,16,0,1,2,1,1,14,15,2,2,1,1,1,0,24.0
2,1,0,4,1625,16,1,25,2,1,2,13,29,2,3,2,3,3,12743,90.0
2,0,1,12,1111,11,0,5,1,1,1,4,17,1,2,1,1,1,0,20.0
2,0,1,12,1602,16,1,3,2,1,2,10,15,2,3,2,2,2,2000,30.0
3,1,0,8,1309,13,0,5,2,1,1,5,13,2,2,1,1,2,0,26.0
3,1,1,22,2520,25,1,1,2,1,2,31,23,2,4,3,2,3,4948,66.4
2,1,0,8,1613,16,1,7,2,0,2,18,15,2,3,2,2,2,2000,35.0
3,1,1,2,1309,13,0,3,2,1,2,11,5,2,1,1,1,1,0,23.0
2,1,1,3,1604,16,1,11,2,1,1,6,14,2,3,2,1,1,1500,28.0
2,0,0,12,1602,16,1,2,2,1,2,11,14,2,3,2,2,2,3000,42.0
1,1,1,3,1705,17,0,6,2,0,0,14,9,1,1,1,1,1,0,10.94
3,0,1,14,1201,12,1,0,2,1,2,7,14,2,4,3,2,2,1910,35.0
2,0,1,5,1601,16,1,5,2,1,1,29,10,2,2,1,2,2,2000,17.0
2,1,0,4,1602,16,1,18,2,1,2,6,22,2,3,2,2,2,3000,27.0
3,1,1,5,1409,14,1,10,2,1,2,11,15,2,3,2,2,2,3160,34.0
2,1,1,19,1625,16,1,5,2,1,1,24,24,2,2,1,2,2,3000,48.0
2,1,1,0,1602,16,1,4,2,0,2,14,4,2,4,3,1,4,700,56.0
1,1,1,4,1708,17,1,2,2,1,1,8,6,2,1,1,1,1,1000,27.47
2,1,1,5,1625,16,1,4,2,1,3,9,9,2,3,2,1,2,1200,30.0
2,1,1,1,1602,16,0,4,2,1,4,7,5,2,4,3,1,3,0,62.0
3,1,1,10,1809,18,1,5,2,0,2,51,15,2,2,1,2,2,2850,24.73
2,1,1,3,1602,16,1,11,2,1,1,12,14,2,3,2,2,2,3000,26.0
1,1,1,14,1708,17,1,9,2,1,2,15,23,2,3,2,3,3,14345,97.31
1,1,1,4,1702,17,1,15,2,0,0,11,19,1,1,1,2,1,2801,22.15
2,0,0,12,1613,16,0,3,2,1,2,4,15,2,3,2,1,2,0,25.0
2,1,1,5,1112,11,0,10,1,1,1,27,15,1,2,1,1,1,0,29.2
2,1,0,4,1601,16,0,11,2,0,1,16,15,1,1,1,1,1,0,18.0
3,1,1,7,2528,25,1,6,0,1,2,10,13,2,3,2,2,2,1700,40.0
2,1,1,10,1604,16,1,2,2,1,2,8,12,2,3,2,3,2,5165,47.0
3,1,1,2,1309,13,0,0,2,0,0,11,2,1,2,1,1,1,0,16.0
2,1,0,9,1625,16,0,13,2,1,2,8,22,2,3,2,1,2,0,37.0
2,1,0,11,1625,16,0,1,2,1,1,10,12,1,2,1,1,2,0,18.0
1,1,1,5,1706,17,1,2,2,0,1,16,7,2,4,3,3,2,6000,73.97
2,1,1,4,1625,16,0,8,2,1,1,2,12,2,3,2,1,2,0,42.0
3,1,0,6,1409,14,0,3,2,1,1,31,9,2,3,2,1,2,0,23.2
3,1,1,2,1412,14,0,8,2,1,1,7,10,1,2,1,1,1,0,18.28
2,1,0,4,1601,16,1,17,2,1,1,3,21,1,1,1,2,1,2500,20.0
3,1,0,4,2500,25,1,7,0,0,1,9,11,2,2,1,2,1,1900,20.0
2,1,1,1,1109,11,0,14,2,1,2,24,15,2,3,2,1,2,0,36.37
2,1,1,5,1604,16,1,10,2,1,2,6,15,2,4,3,2,2,3000,35.0
3,1,1,15,1201,12,1,6,2,1,2,17,21,2,3,2,2,2,4500,35.0
2,1,0,2,1602,16,1,10,2,1,2,2,12,2,2,1,2,1,2000,28.0
2,1,0,5,1624,16,1,9,2,1,1,2,14,2,3,2,2,2,2850,38.0
3,0,1,9,1407,14,0,6,2,1,3,15,15,2,3,2,1,3,0,59.53
2,1,1,13,1625,16,1,26,2,1,2,3,39,2,3,2,3,2,6300,86.0
3,1,1,6,1407,14,0,0,2,1,2,10,6,2,3,2,1,2,0,39.05
3,1,1,2,1407,14,0,7,2,1,1,8,9,2,3,2,1,2,0,46.0
3,1,1,2,1201,12,1,12,2,1,5,8,14,2,3,2,2,2,3468,32.0
2,1,1,4,1602,16,1,3,2,1,2,9,7,2,3,2,2,2,1750,22.0
1,1,1,4,1710,17,1,3,2,1,2,20,7,2,3,2,2,2,1700,38.0
2,1,1,24,1625,16,0,1,2,1,1,9,25,2,2,1,1,1,0,25.0
2,0,1,0,1613,16,0,1,2,0,1,5,1,1,3,2,1,2,0,30.0
1,1,1,6,1705,17,1,1,2,0,1,18,7,1,1,1,2,1,2632,15.27
1,1,1,5,1702,17,1,9,2,1,2,22,14,2,4,3,3,2,12000,54.6
2,1,1,16,1106,11,0,2,1,1,1,5,18,2,3,2,1,2,0,43.0
1,1,1,7,1709,17,1,3,0,1,2,9,10,2,3,2,3,2,6000,45.0
2,1,0,13,1625,16,1,2,2,1,2,6,15,2,3,2,2,2,2000,40.0
2,0,1,9,1117,11,1,14,2,0,1,8,23,1,2,1,2,2,2450,18.38
3,0,1,11,1401,14,0,4,2,1,3,10,15,2,4,3,1,2,0,49.6
3,0,1,4,1401,14,1,10,2,0,1,3,14,2,3,2,2,2,2000,29.0
3,1,1,13,2500,25,0,1,2,1,1,6,14,1,2,1,1,1,0,17.83
1,1,1,2,1701,17,1,10,2,1,1,28,12,2,4,3,2,2,2650,50.65
3,1,1,4,1814,18,0,1,0,0,2,10,5,2,2,1,1,2,0,24.0
2,1,1,17,1625,16,1,21,2,1,2,16,38,2,4,3,3,2,8000,70.0
3,0,1,2,1310,13,1,12,2,1,1,7,14,2,3,2,1,2,1425,21.67
3,0,1,6,1400,14,0,12,0,0,1,4,18,2,2,1,1,1,0,21.27
2,1,1,13,1112,11,0,2,2,1,1,18,15,2,2,1,1,1,0,19.98
3,0,1,4,1803,18,0,1,2,0,3,20,5,2,3,2,1,2,0,24.22
2,1,1,17,1117,11,0,2,2,1,1,5,19,2,3,2,1,2,0,32.74
1,0,1,1,1701,17,0,3,2,1,1,3,4,2,4,3,1,2,0,44.88
3,1,1,3,2116,21,0,6,0,1,2,10,9,1,3,2,1,2,0,41.0
2,1,0,12,1603,16,1,3,2,1,1,6,15,2,2,1,2,1,2724,27.0
2,0,0,14,1602,16,0,1,2,1,2,17,15,2,3,2,1,2,0,30.0
2,1,1,5,1100,11,0,2,2,0,1,9,7,2,4,3,1,2,0,36.7
2,1,0,11,1602,16,1,7,2,1,2,12,18,2,3,2,2,2,3000,47.0
3,1,1,7,1200,12,0,0,2,0,0,15,7,0,1,1,1,1,0,10.0
3,0,1,4,2504,25,0,0,0,0,2,9,4,2,3,2,1,1,0,40.0
3,0,1,14,1407,14,0,1,2,1,1,3,15,2,3,2,1,2,0,25.0
2,1,1,12,1111,11,1,2,2,1,1,24,14,2,3,2,2,2,2403,33.0
2,0,1,5,1111,11,0,23,2,1,2,30,28,2,2,1,1,2,0,100.09
3,1,1,0,1201,12,0,3,2,1,2,11,3,2,5,3,1,3,0,50.0
3,0,1,0,1806,18,0,3,2,0,0,9,3,2,5,3,1,2,0,36.23
2,0,0,8,1602,16,1,7,2,1,2,6,15,2,3,2,2,2,2900,27.72
2,1,1,13,1625,16,1,1,2,1,1,12,14,2,3,2,2,2,3270,46.72
2,1,1,15,1106,11,0,3,2,1,2,26,18,2,3,2,1,2,0,37.19
1,1,1,5,1706,17,1,9,2,1,1,15,14,2,4,3,3,2,6000,71.85
3,1,1,5,1400,14,0,11,2,1,1,9,16,2,3,2,1,2,0,52.65
3,1,0,4,1407,14,0,10,2,1,1,13,14,1,1,1,1,1,0,28.18
2,1,1,9,1625,16,1,10,2,1,2,15,19,2,2,1,3,2,6000,64.0
3,1,1,5,1309,13,0,10,1,1,2,7,15,1,2,1,1,1,0,20.0
3,1,1,10,2500,25,1,4,0,1,0,16,14,2,1,1,2,1,1750,15.8
2,1,1,3,1625,16,1,9,2,1,1,5,12,1,2,1,2,1,2300,25.0
3,0,0,0,2116,21,0,2,2,1,2,25,2,2,4,3,1,3,0,61.06
3,0,1,21,1201,12,1,3,2,1,1,6,24,2,3,2,2,2,3000,25.0
2,1,1,21,1625,16,0,3,2,1,0,5,24,2,2,1,1,1,0,19.06
1,0,1,3,1701,17,1,9,2,1,1,17,12,1,2,1,2,1,3175,29.68
3,1,1,3,1824,18,0,2,2,0,1,15,5,2,2,1,1,2,0,20.0
3,1,1,3,1201,12,1,18,2,1,3,9,21,2,4,3,2,2,4437,68.0
2,0,1,0,1617,16,0,4,2,1,4,8,4,2,5,3,1,5,0,60.0
1,1,1,14,1705,17,1,1,2,1,1,9,15,2,3,2,3,2,6800,69.0
2,1,1,26,1625,16,1,3,2,1,1,10,29,1,1,1,2,1,2000,34.0
2,1,1,10,1613,16,1,2,2,1,1,4,12,2,3,2,2,2,2500,30.0
3,0,1,1,1404,14,1,13,2,0,0,23,14,2,2,1,2,1,1900,21.0
2,0,0,7,1602,16,1,8,2,1,2,6,15,2,3,2,2,2,3000,66.0
2,0,1,5,1604,16,0,2,2,1,1,11,7,2,3,2,1,2,0,34.5
2,1,1,7,1110,11,1,13,0,0,1,5,20,1,1,1,2,1,2922,15.0
2,0,1,12,1112,11,1,7,2,1,2,12,19,2,3,2,2,2,3492,36.17
3,1,1,5,1401,14,0,3,2,1,3,12,8,2,4,3,1,2,0,40.0
3,1,1,3,1407,14,0,12,2,1,1,4,15,2,2,1,1,1,0,19.71
3,1,1,9,1407,14,0,6,2,0,3,13,15,2,3,2,1,2,0,59.53
2,1,1,3,1602,16,1,12,1,1,2,4,15,2,3,2,2,2,2980,42.0
3,1,1,2,1815,18,1,12,0,1,1,19,14,2,4,3,2,2,2068,51.0
3,1,1,3,1400,14,0,14,2,1,1,8,17,1,1,1,1,1,0,18.31
3,1,1,2,1408,14,0,13,2,1,2,20,15,2,2,1,1,1,0,33.0
3,1,1,5,1407,14,0,0,2,1,1,26,5,2,2,1,1,1,0,25.0
2,0,0,7,1602,16,0,6,2,1,1,30,13,2,3,2,1,2,0,26.5
3,0,1,5,1309,13,1,9,2,1,2,3,14,2,3,2,2,2,3000,30.0
3,0,1,16,1011,10,0,1,2,0,2,7,17,2,3,2,1,2,0,25.91
3,0,1,19,2535,25,1,9,2,1,2,12,28,2,3,2,2,2,2796,26.5
3,0,1,7,1407,14,0,3,2,1,1,10,10,1,3,2,1,2,0,38.0
3,1,0,3,1407,14,0,9,2,1,0,15,12,2,3,2,1,2,0,30.0
1,1,1,6,1708,17,1,5,2,1,2,3,11,2,2,1,2,2,2800,34.92
2,1,0,2,1611,16,1,10,2,0,1,2,12,1,2,1,2,1,3000,28.0
2,1,0,5,1602,16,1,10,2,1,2,8,15,2,3,2,2,2,3000,30.0
2,1,1,10,1605,16,1,2,2,1,2,23,12,2,3,2,2,2,3000,30.0
3,1,1,11,1400,14,0,3,0,1,3,16,14,2,3,2,1,2,0,31.33
2,0,1,6,1604,16,1,10,2,1,2,11,16,2,3,2,2,2,2600,25.0
2,0,0,0,1604,16,0,2,2,0,1,5,2,1,4,3,1,5,0,42.0
3,1,1,3,2500,25,0,6,2,1,1,17,9,2,3,2,1,2,0,30.59
2,1,1,11,1109,11,1,12,2,1,1,5,23,2,3,2,2,2,3165,35.53
2,1,1,7,1117,11,0,8,2,1,1,5,15,1,2,1,1,1,0,35.5
3,1,0,8,1407,14,0,1,2,1,1,26,9,2,2,1,1,1,0,16.4
2,1,1,10,1625,16,1,11,2,1,1,4,21,2,3,2,2,2,4367,57.73
2,1,1,13,1102,11,1,0,2,1,1,21,13,2,2,1,2,1,2874,22.11
2,0,1,4,1102,11,0,7,2,0,0,4,11,2,2,1,1,1,0,30.8
3,1,0,8,1407,14,0,1,2,1,1,8,9,1,2,1,1,1,0,20.0
2,1,0,8,1625,16,1,14,2,1,1,6,22,2,2,1,2,2,3500,38.0
3,1,1,12,1409,14,0,2,2,1,1,8,14,2,3,2,1,2,0,45.0
3,0,1,7,1404,14,1,0,0,0,1,13,7,2,2,1,2,2,2374,30.0
3,1,0,4,1407,14,1,7,2,1,1,13,11,2,3,2,2,2,3000,40.0
3,1,1,2,2520,25,1,13,2,1,1,6,15,1,2,1,1,1,1480,25.48
2,1,1,8,1625,16,1,6,1,1,1,8,14,2,2,1,2,1,3000,18.0
3,1,1,8,1400,14,0,4,2,1,1,6,12,2,2,1,1,1,0,20.0
2,0,1,17,1104,11,1,2,2,1,1,29,19,1,2,1,2,1,2100,16.53
3,1,0,10,1407,14,1,5,2,1,2,13,15,2,3,2,2,2,3000,43.0
2,1,0,6,1601,16,1,9,2,1,2,10,15,2,4,3,3,3,6000,60.0
2,0,1,15,1100,11,0,0,2,1,1,20,15,2,3,2,1,2,0,22.91
3,0,1,12,1309,13,1,3,2,1,2,23,15,1,2,1,2,1,2022,20.0
3,0,1,13,1309,13,1,1,2,1,2,26,14,2,3,2,2,2,2113,25.0
2,1,1,9,1602,16,1,19,2,1,1,20,28,2,2,1,2,1,2000,25.0
2,1,0,9,1602,16,1,9,2,0,2,3,18,2,3,2,2,2,3000,31.0
3,1,1,9,1400,14,0,3,2,1,1,7,12,2,2,1,1,1,0,19.6
3,1,1,0,2500,25,0,2,0,0,0,4,2,0,4,3,1,3,0,55.0
2,1,1,17,1601,16,1,5,2,1,1,2,22,2,2,1,2,1,3000,28.0
3,1,1,2,1309,13,0,5,2,1,3,10,7,2,4,3,1,3,0,60.0
2,1,1,13,1603,16,1,2,2,1,1,14,15,2,2,1,2,2,2000,25.0
2,0,1,9,1100,11,0,3,2,0,3,31,12,2,4,3,1,2,0,46.36
2,0,0,9,1611,16,1,3,2,1,1,15,12,2,3,2,2,2,2000,30.0
1,1,1,3,1703,17,1,5,2,1,1,30,8,2,3,2,2,2,3640,43.59
3,0,1,3,1407,14,0,3,2,1,2,27,6,1,3,2,1,2,0,29.25
1,1,1,8,1700,17,1,2,2,1,3,8,10,2,4,3,3,3,11070,101.0
3,1,0,0,1400,14,0,3,2,1,3,4,3,2,5,3,1,3,0,24.09
3,1,1,2,1309,13,0,3,2,0,1,16,5,2,3,2,1,2,0,35.0
2,1,1,4,1624,16,0,5,2,1,2,17,9,2,3,2,1,2,0,30.0
3,1,1,14,1829,18,0,2,1,1,2,5,16,2,2,1,1,2,0,27.0
3,0,0,9,1005,10,0,0,2,0,1,2,9,2,2,1,1,1,0,25.0
2,1,1,6,1625,16,1,16,2,1,1,6,22,1,2,1,2,1,2999,25.0
2,1,0,8,1602,16,1,6,2,1,2,1,14,2,3,2,2,2,2000,35.0
2,1,1,14,1602,16,1,1,2,1,1,9,15,2,3,2,2,2,2500,30.0
3,1,1,0,1803,18,0,2,0,0,2,3,2,3,5,3,1,3,0,70.0
2,1,1,7,1102,11,1,0,0,1,2,17,7,2,2,1,2,2,2307,38.33
2,0,1,21,1117,11,0,6,2,1,1,16,27,2,3,2,1,1,0,32.89
2,1,0,1,1612,16,0,3,2,0,3,9,4,2,4,3,1,3,0,100.0
2,1,0,5,1604,16,1,9,2,1,1,11,14,2,3,2,2,2,2040,28.0
2,1,0,3,1616,16,1,11,2,1,2,17,14,2,3,2,2,2,3100,32.0
3,0,0,11,1815,18,1,11,1,0,1,9,22,1,3,2,2,2,2000,27.0
2,1,0,3,1625,16,1,7,2,0,2,10,10,2,3,2,1,2,500,40.0
3,1,1,25,1409,14,0,4,2,1,2,12,29,2,3,2,1,3,0,120.0
3,1,1,2,1407,14,0,14,2,1,1,9,16,2,3,2,1,2,0,30.0
2,1,1,0,1602,16,0,3,2,0,3,4,3,2,4,3,1,5,0,50.0
2,0,1,0,1602,16,0,2,2,0,2,2,2,2,4,3,1,2,0,40.0
3,0,1,1,1201,12,1,11,1,1,2,22,12,2,3,2,2,2,2628,32.0
3,0,1,10,1407,14,0,3,2,1,2,8,13,2,4,3,1,2,0,35.0
1,1,1,5,1700,17,1,2,2,1,1,17,7,2,1,1,3,2,6100,30.49
2,0,1,9,1104,11,0,6,2,1,1,12,15,1,1,1,1,1,0,13.36
2,0,1,0,1612,16,1,3,2,0,0,29,3,3,4,3,1,3,1000,45.0
3,1,1,12,1309,13,1,2,2,1,1,11,14,2,3,2,2,2,1860,30.0
3,1,1,2,1400,14,1,13,2,1,1,13,15,2,2,1,2,1,2000,37.24
3,1,1,10,1400,14,1,2,0,1,1,11,12,1,2,1,2,1,2000,25.0
2,0,1,8,1603,16,1,12,2,1,2,12,20,2,3,2,2,2,2000,52.7
3,1,1,21,1201,12,0,3,2,1,1,30,24,2,2,1,1,1,0,20.0
3,1,1,5,1409,14,0,5,2,1,1,31,10,2,3,2,1,2,0,26.0
2,1,1,3,1602,16,1,12,1,1,2,7,15,2,3,2,2,2,3800,47.9
2,1,0,18,1602,16,1,2,2,1,2,1,20,2,3,2,2,2,5000,50.0
3,1,1,4,1407,14,0,10,2,0,1,14,14,2,2,1,1,1,0,34.0
2,1,1,4,1604,16,0,10,2,1,1,26,14,2,3,2,1,2,0,40.0
3,1,1,4,1407,14,1,11,2,1,1,13,15,1,2,1,2,1,2080,19.0
3,1,1,8,1401,14,0,5,2,1,1,31,13,2,2,1,1,1,0,31.48
3,1,1,4,702,7,0,2,2,1,1,30,6,2,3,2,1,2,0,47.0
2,1,1,7,1115,11,0,1,2,1,2,12,8,2,3,2,1,1,0,29.0
1,1,1,2,1709,17,1,3,0,1,2,6,5,2,4,3,1,2,500,41.0
3,1,1,3,1407,14,1,9,2,1,1,15,12,2,3,2,1,2,1200,29.48
2,1,0,1,1605,16,0,3,2,1,2,4,4,2,4,3,1,3,0,60.0
2,1,1,2,1602,16,0,10,2,1,2,5,12,2,2,1,1,1,0,20.0
3,1,1,4,1407,14,0,5,2,1,1,15,9,2,3,2,1,2,0,30.0
2,0,1,8,1103,11,0,15,2,1,2,3,23,2,2,1,1,2,0,48.51
2,0,1,11,1117,11,0,3,2,1,1,18,14,1,2,1,1,1,0,31.94
2,1,1,4,1602,16,1,11,2,1,2,3,15,2,3,2,2,2,3179,31.0
2,1,0,12,1613,16,1,3,2,1,2,17,15,2,3,2,2,2,2350,40.0
2,1,0,0,1613,16,0,3,2,1,3,10,3,2,3,2,1,3,0,100.0
2,1,1,2,1602,16,0,6,2,1,2,8,8,2,3,2,1,2,0,27.0
3,1,1,15,1309,13,0,0,2,1,1,3,15,1,2,1,1,2,0,22.0
3,1,1,9,1408,14,0,6,2,1,2,8,15,2,3,2,1,2,0,52.4
2,0,1,4,1111,11,0,16,2,1,1,28,20,2,3,2,1,2,0,44.33
2,1,1,4,1602,16,1,14,2,1,2,6,18,2,3,2,2,2,3000,40.0
2,0,1,0,1612,16,0,4,2,0,3,3,4,2,4,3,1,3,0,50.0
2,0,1,1,1128,11,1,6,2,0,1,29,7,1,3,2,2,2,2000,30.18
2,0,0,0,1618,16,0,4,2,1,5,7,4,3,5,3,1,3,0,70.0
2,0,1,9,1604,16,1,13,2,1,2,17,22,2,3,2,2,2,2558,33.02
2,1,1,9,1625,16,0,13,2,1,1,14,22,1,2,1,1,1,0,18.0
2,1,1,5,1620,16,1,11,2,1,1,14,16,1,2,1,1,1,1500,18.0
2,1,1,12,1625,16,0,2,2,1,4,5,14,2,4,3,1,2,0,46.0
2,1,1,12,1117,11,0,2,0,1,2,17,14,2,3,2,1,2,0,41.3
2,1,1,14,1625,16,0,1,2,1,2,9,15,2,3,2,1,2,0,34.0
2,1,0,18,1625,16,1,11,2,1,2,6,29,2,2,1,2,1,3024,30.0
3,1,1,3,1408,14,1,3,0,1,0,13,6,1,1,1,1,1,1240,16.5
2,1,1,6,1110,11,0,9,2,1,0,7,15,2,3,2,1,2,0,30.0
3,1,1,6,2535,25,0,9,2,1,1,27,15,2,3,2,1,2,0,21.34
2,0,1,12,1111,11,1,2,2,1,1,8,14,2,2,1,2,2,2403,33.4
2,1,0,8,1602,16,1,6,2,1,2,9,14,2,3,2,2,2,2000,48.0
3,1,1,3,1201,12,0,18,2,1,1,8,21,1,1,1,1,1,0,18.0
2,1,0,0,1618,16,0,1,2,1,1,26,1,2,5,3,1,3,0,52.0
1,1,1,8,1708,17,1,6,2,1,1,28,14,2,4,3,3,2,7996,61.37
2,1,1,17,1625,16,1,21,2,1,2,19,38,2,4,3,3,2,5995,47.04
2,0,0,3,1602,16,1,12,2,1,1,3,15,1,2,1,1,1,1500,25.0
3,0,1,3,1400,14,0,10,2,1,2,6,13,2,4,3,1,2,0,49.43
1,1,1,1,1701,17,0,5,2,1,0,2,6,2,2,1,1,1,0,20.36
3,1,1,0,1411,14,0,4,2,0,6,8,4,2,4,3,1,3,0,49.5
2,0,1,23,1117,11,1,2,2,1,0,5,25,2,3,2,3,2,8126,46.54
3,1,1,8,1400,14,1,6,2,1,2,7,14,2,2,1,2,1,2500,29.0
3,1,1,10,1309,13,1,4,2,1,2,24,14,2,2,1,2,1,1777,30.0
3,1,1,7,2500,25,1,17,1,1,2,7,24,2,3,2,2,2,2290,35.0
2,1,0,10,1604,16,0,5,2,0,1,14,15,1,2,1,1,1,0,28.0
2,1,0,2,1613,16,0,18,2,1,2,6,20,2,3,2,1,2,0,30.0
2,1,1,2,1601,16,1,6,2,0,1,2,8,1,2,1,1,1,1000,26.0
1,1,1,1,1708,17,0,4,2,1,1,21,5,3,3,2,1,3,0,46.0
2,1,1,9,1112,11,0,5,2,1,1,2,14,2,2,1,1,1,0,20.16
2,0,1,2,1109,11,1,11,1,1,0,10,13,2,4,3,2,2,3232,55.06
3,0,1,15,1407,14,0,0,2,1,1,5,15,2,2,1,1,2,0,19.25
1,1,1,9,1703,17,1,2,2,1,1,6,11,2,2,1,3,2,7800,69.35
2,0,0,6,1624,16,1,2,1,0,1,8,8,1,2,1,2,1,2000,30.0
2,0,1,3,1625,16,1,9,2,1,2,15,12,2,3,2,2,2,3000,23.0
3,1,1,1,809,8,0,0,0,0,0,5,1,1,3,2,1,1,0,30.0
3,0,1,15,1201,12,0,0,0,1,1,6,15,2,2,1,1,1,0,20.0
2,0,1,12,1604,16,0,4,2,0,1,10,16,2,3,2,1,2,0,37.0
3,1,1,3,1407,14,1,3,2,1,2,7,6,2,3,2,1,2,1000,35.0
2,1,1,7,1625,16,1,8,2,1,1,12,15,2,3,2,2,1,2615,25.0
2,1,1,20,1625,16,0,8,2,1,2,24,28,2,4,3,1,3,0,105.0
3,1,1,11,1810,18,0,4,0,0,2,29,15,2,3,2,1,2,0,27.0
1,1,1,4,1705,17,0,7,2,1,1,4,11,2,4,3,1,2,0,70.74
3,1,0,11,1815,18,1,11,1,1,1,24,22,1,3,2,2,2,2000,27.0
